id,from,to, floor, zone
 vawelon001,2016/5/31 0:05,2016/5/31 2:31,,
 earpa001,2016/5/31 0:20,2016/5/31 2:26,,
 earpa001,2016/5/31 2:26,2016/5/31 3:12,,
 vawelon001,2016/5/31 2:31,2016/5/31 3:28,,
 earpa001,2016/5/31 3:12,2016/5/31 5:57,,
 vawelon001,2016/5/31 3:28,2016/5/31 5:57,,
 earpa001,2016/5/31 5:57,2016/5/31 6:59,,
 vawelon001,2016/5/31 5:57,2016/5/31 6:47,,
 vawelon001,2016/5/31 6:47,2016/5/31 7:35,,
 earpa001,2016/5/31 6:59,2016/6/1 0:29,,
 ibarranco001,2016/5/31 7:00,2016/5/31 7:00,,
 jsanjorge001,2016/5/31 7:00,2016/5/31 7:00,,
 jsanjorge001,2016/5/31 7:00,2016/5/31 7:01,,
 ibarranco001,2016/5/31 7:00,2016/5/31 7:01,,
 ibarranco001,2016/5/31 7:01,2016/5/31 7:02,,
 jsanjorge001,2016/5/31 7:01,2016/5/31 7:02,,
 jsanjorge001,2016/5/31 7:02,2016/5/31 7:02,,
 ibarranco001,2016/5/31 7:02,2016/5/31 7:02,,
 jsanjorge001,2016/5/31 7:02,2016/5/31 7:02,,
 ibarranco001,2016/5/31 7:02,2016/5/31 9:00,,
 jsanjorge001,2016/5/31 7:02,2016/5/31 10:15,,
 knielson001,2016/5/31 7:15,2016/5/31 7:15,,
 btempestad001,2016/5/31 7:15,2016/5/31 7:15,,
 mbramar001,2016/5/31 7:15,2016/5/31 7:15,,
 knielson001,2016/5/31 7:15,2016/5/31 7:16,,
 btempestad001,2016/5/31 7:15,2016/5/31 7:16,,
 mbramar001,2016/5/31 7:15,2016/5/31 7:16,,
 ldedos001,2016/5/31 7:16,2016/5/31 7:17,,
 fbalas001,2016/5/31 7:16,2016/5/31 7:17,,
 ckinney001,2016/5/31 7:16,2016/5/31 7:17,,
 iborrasca001,2016/5/31 7:16,2016/5/31 7:17,,
 iovan001,2016/5/31 7:16,2016/5/31 7:17,,
 mbramar001,2016/5/31 7:16,2016/5/31 7:17,,
 knielson001,2016/5/31 7:16,2016/5/31 7:16,,
 knielson001,2016/5/31 7:16,2016/5/31 9:54,,
 btempestad001,2016/5/31 7:16,2016/5/31 7:16,,
 btempestad001,2016/5/31 7:16,2016/5/31 7:16,,
 btempestad001,2016/5/31 7:16,2016/5/31 8:50,,
 mbramar001,2016/5/31 7:17,2016/5/31 7:17,,
 mbramar001,2016/5/31 7:17,2016/5/31 7:17,,
 mbramar001,2016/5/31 7:17,2016/5/31 11:25,,
 iborrasca001,2016/5/31 7:17,2016/5/31 7:18,,
 iovan001,2016/5/31 7:17,2016/5/31 7:18,,
 fbalas001,2016/5/31 7:17,2016/5/31 7:18,,
 ckinney001,2016/5/31 7:17,2016/5/31 7:18,,
 ldedos001,2016/5/31 7:17,2016/5/31 7:18,,
 chawelon001,2016/5/31 7:18,2016/5/31 7:20,,
 lbennett001,2016/5/31 7:18,2016/5/31 7:20,,
 iborrasca001,2016/5/31 7:18,2016/5/31 7:18,,
 ldedos001,2016/5/31 7:18,2016/5/31 7:18,,
 fbalas001,2016/5/31 7:18,2016/5/31 7:18,,
 ckinney001,2016/5/31 7:18,2016/5/31 7:18,,
 iovan001,2016/5/31 7:18,2016/5/31 7:18,,
 fbalas001,2016/5/31 7:18,2016/5/31 9:55,,
 iovan001,2016/5/31 7:18,2016/5/31 7:18,,
 ckinney001,2016/5/31 7:18,2016/5/31 7:18,,
 ldedos001,2016/5/31 7:18,2016/5/31 7:18,,
 iborrasca001,2016/5/31 7:18,2016/5/31 7:18,,
 ckinney001,2016/5/31 7:18,2016/5/31 9:04,,
 iovan001,2016/5/31 7:18,2016/5/31 8:46,,
 ldedos001,2016/5/31 7:18,2016/5/31 8:51,,
 iborrasca001,2016/5/31 7:18,2016/5/31 9:00,,
 zcoronado001,2016/5/31 7:19,2016/5/31 7:20,,
 sflorez001,2016/5/31 7:20,2016/5/31 7:21,,
 yfinney001,2016/5/31 7:20,2016/5/31 7:21,,
 lbennett001,2016/5/31 7:20,2016/5/31 7:20,,
 zcoronado001,2016/5/31 7:20,2016/5/31 7:20,,
 chawelon001,2016/5/31 7:20,2016/5/31 7:20,,
 zcoronado001,2016/5/31 7:20,2016/5/31 7:20,,
 chawelon001,2016/5/31 7:20,2016/5/31 7:20,,
 lbennett001,2016/5/31 7:20,2016/5/31 7:20,,
 lbennett001,2016/5/31 7:20,2016/5/31 7:21,,
 chawelon001,2016/5/31 7:20,2016/5/31 7:21,,
 zcoronado001,2016/5/31 7:20,2016/5/31 7:21,,
 mcassano001,2016/5/31 7:21,2016/5/31 7:22,,
 cshipp001,2016/5/31 7:21,2016/5/31 7:22,,
 anubarron001,2016/5/31 7:21,2016/5/31 7:22,,
 avico001,2016/5/31 7:21,2016/5/31 7:22,,
 rfaralso001,2016/5/31 7:21,2016/5/31 7:22,,
 lbennett001,2016/5/31 7:21,2016/5/31 8:53,,
 zcoronado001,2016/5/31 7:21,2016/5/31 8:55,,
 chawelon001,2016/5/31 7:21,2016/5/31 9:03,,
 sflorez001,2016/5/31 7:21,2016/5/31 7:22,,
 yfinney001,2016/5/31 7:21,2016/5/31 7:22,,
 sflorez001,2016/5/31 7:22,2016/5/31 7:22,,
 yfinney001,2016/5/31 7:22,2016/5/31 7:22,,
 sflorez001,2016/5/31 7:22,2016/5/31 7:22,,
 yfinney001,2016/5/31 7:22,2016/5/31 7:22,,
 sflorez001,2016/5/31 7:22,2016/5/31 8:59,,
 yfinney001,2016/5/31 7:22,2016/5/31 8:57,,
 mcassano001,2016/5/31 7:22,2016/5/31 7:23,,
 anubarron001,2016/5/31 7:22,2016/5/31 7:23,,
 cshipp001,2016/5/31 7:22,2016/5/31 7:23,,
 rfaralso001,2016/5/31 7:22,2016/5/31 7:23,,
 avico001,2016/5/31 7:22,2016/5/31 7:23,,
 lazada001,2016/5/31 7:23,2016/5/31 7:24,,
 nbasham001,2016/5/31 7:23,2016/5/31 7:24,,
 sparrino001,2016/5/31 7:23,2016/5/31 7:24,,
 rfaralso001,2016/5/31 7:23,2016/5/31 7:23,,
 cshipp001,2016/5/31 7:23,2016/5/31 7:23,,
 avico001,2016/5/31 7:23,2016/5/31 7:23,,
 anubarron001,2016/5/31 7:23,2016/5/31 7:23,,
 mcassano001,2016/5/31 7:23,2016/5/31 7:23,,
 rfaralso001,2016/5/31 7:23,2016/5/31 7:23,,
 anubarron001,2016/5/31 7:23,2016/5/31 7:23,,
 avico001,2016/5/31 7:23,2016/5/31 7:23,,
 mcassano001,2016/5/31 7:23,2016/5/31 7:23,,
 cshipp001,2016/5/31 7:23,2016/5/31 7:23,,
 cshipp001,2016/5/31 7:23,2016/5/31 8:54,,
 rfaralso001,2016/5/31 7:23,2016/5/31 8:45,,
 mcassano001,2016/5/31 7:23,2016/5/31 9:04,,
 avico001,2016/5/31 7:23,2016/5/31 8:50,,
 anubarron001,2016/5/31 7:23,2016/5/31 9:03,,
 slowery001,2016/5/31 7:24,2016/5/31 7:25,,
 cstaley001,2016/5/31 7:24,2016/5/31 8:45,,
 lazada001,2016/5/31 7:24,2016/5/31 7:25,,
 nbasham001,2016/5/31 7:24,2016/5/31 7:25,,
 sparrino001,2016/5/31 7:24,2016/5/31 7:25,,
 korilla001,2016/5/31 7:25,2016/5/31 7:26,,
 lazada001,2016/5/31 7:25,2016/5/31 7:25,,
 nbasham001,2016/5/31 7:25,2016/5/31 7:25,,
 sparrino001,2016/5/31 7:25,2016/5/31 7:25,,
 lazada001,2016/5/31 7:25,2016/5/31 10:01,,
 nbasham001,2016/5/31 7:25,2016/5/31 7:25,,
 sparrino001,2016/5/31 7:25,2016/5/31 10:10,,
 nbasham001,2016/5/31 7:25,2016/5/31 8:50,,
 slowery001,2016/5/31 7:25,2016/5/31 7:26,,
 tbattles001,2016/5/31 7:26,2016/5/31 7:27,,
 ahafon001,2016/5/31 7:26,2016/5/31 7:27,,
 apinckney001,2016/5/31 7:26,2016/5/31 7:27,,
