prox-id,from,to,position,floor,zone,type
vawelon001,2016/5/31 0:05,2016/5/31 2:31,in_office,1,1,fixed-prox
earpa001,2016/5/31 0:20,2016/5/31 2:26,in_office,1,1,fixed-prox
earpa001,2016/5/31 2:26,2016/5/31 3:12,out_office,1,6,fixed-prox
vawelon001,2016/5/31 2:31,2016/5/31 3:28,out_office,1,6,fixed-prox
earpa001,2016/5/31 3:12,2016/5/31 5:57,in_office,1,1,fixed-prox
vawelon001,2016/5/31 3:28,2016/5/31 5:57,in_office,1,1,fixed-prox
earpa001,2016/5/31 5:57,2016/5/31 6:59,out_office,1,6,fixed-prox
vawelon001,2016/5/31 5:57,2016/5/31 6:47,out_office,1,6,fixed-prox
vawelon001,2016/5/31 6:47,2016/5/31 7:35,in_office,1,1,fixed-prox
earpa001,2016/5/31 6:59,2016/6/1 0:29,in_office,1,1,fixed-prox
ibarranco001,2016/5/31 7:00,2016/5/31 7:00,out_office,1,1,fixed-prox
jsanjorge001,2016/5/31 7:00,2016/5/31 7:00,out_office,1,1,fixed-prox
jsanjorge001,2016/5/31 7:00,2016/5/31 7:01,out_office,1,4,fixed-prox
ibarranco001,2016/5/31 7:00,2016/5/31 7:01,out_office,1,4,fixed-prox
ibarranco001,2016/5/31 7:01,2016/5/31 7:02,out_office,2,4,fixed-prox
jsanjorge001,2016/5/31 7:01,2016/5/31 7:02,out_office,2,4,fixed-prox
jsanjorge001,2016/5/31 7:02,2016/5/31 7:02,out_office,3,4,fixed-prox
ibarranco001,2016/5/31 7:02,2016/5/31 7:02,out_office,3,4,fixed-prox
jsanjorge001,2016/5/31 7:02,2016/5/31 7:02,out_office,3,1,fixed-prox
ibarranco001,2016/5/31 7:02,2016/5/31 9:00,in_office,3,1,fixed-prox
jsanjorge001,2016/5/31 7:02,2016/5/31 10:15,out_office,3,6,fixed-prox
knielson001,2016/5/31 7:15,2016/5/31 7:15,out_office,1,1,fixed-prox
btempestad001,2016/5/31 7:15,2016/5/31 7:15,out_office,1,1,fixed-prox
mbramar001,2016/5/31 7:15,2016/5/31 7:15,out_office,1,1,fixed-prox
knielson001,2016/5/31 7:15,2016/5/31 7:16,out_office,1,4,fixed-prox
btempestad001,2016/5/31 7:15,2016/5/31 7:16,out_office,1,4,fixed-prox
mbramar001,2016/5/31 7:15,2016/5/31 7:16,out_office,1,4,fixed-prox
ldedos001,2016/5/31 7:16,2016/5/31 7:17,out_office,1,1,fixed-prox
fbalas001,2016/5/31 7:16,2016/5/31 7:17,out_office,1,1,fixed-prox
ckinney001,2016/5/31 7:16,2016/5/31 7:17,out_office,1,1,fixed-prox
iborrasca001,2016/5/31 7:16,2016/5/31 7:17,out_office,1,1,fixed-prox
iovan001,2016/5/31 7:16,2016/5/31 7:17,out_office,1,1,fixed-prox
mbramar001,2016/5/31 7:16,2016/5/31 7:17,out_office,2,4,fixed-prox
knielson001,2016/5/31 7:16,2016/5/31 7:16,out_office,2,4,fixed-prox
knielson001,2016/5/31 7:16,2016/5/31 9:54,in_office,2,1,fixed-prox
btempestad001,2016/5/31 7:16,2016/5/31 7:16,out_office,2,4,fixed-prox
btempestad001,2016/5/31 7:16,2016/5/31 7:16,out_office,2,1,fixed-prox
btempestad001,2016/5/31 7:16,2016/5/31 8:50,in_office,2,2,fixed-prox
mbramar001,2016/5/31 7:17,2016/5/31 7:17,out_office,3,4,fixed-prox
mbramar001,2016/5/31 7:17,2016/5/31 7:17,out_office,3,1,fixed-prox
mbramar001,2016/5/31 7:17,2016/5/31 11:25,in_office,3,6,fixed-prox
iborrasca001,2016/5/31 7:17,2016/5/31 7:18,out_office,1,4,fixed-prox
iovan001,2016/5/31 7:17,2016/5/31 7:18,out_office,1,4,fixed-prox
fbalas001,2016/5/31 7:17,2016/5/31 7:18,out_office,1,4,fixed-prox
ckinney001,2016/5/31 7:17,2016/5/31 7:18,out_office,1,4,fixed-prox
ldedos001,2016/5/31 7:17,2016/5/31 7:18,out_office,1,4,fixed-prox
chawelon001,2016/5/31 7:18,2016/5/31 7:20,out_office,1,1,fixed-prox
lbennett001,2016/5/31 7:18,2016/5/31 7:20,out_office,1,1,fixed-prox
iborrasca001,2016/5/31 7:18,2016/5/31 7:18,out_office,2,4,fixed-prox
ldedos001,2016/5/31 7:18,2016/5/31 7:18,out_office,2,4,fixed-prox
fbalas001,2016/5/31 7:18,2016/5/31 7:18,out_office,2,4,fixed-prox
ckinney001,2016/5/31 7:18,2016/5/31 7:18,out_office,2,4,fixed-prox
iovan001,2016/5/31 7:18,2016/5/31 7:18,out_office,2,4,fixed-prox
fbalas001,2016/5/31 7:18,2016/5/31 9:55,in_office,2,1,fixed-prox
iovan001,2016/5/31 7:18,2016/5/31 7:18,out_office,2,1,fixed-prox
ckinney001,2016/5/31 7:18,2016/5/31 7:18,out_office,2,1,fixed-prox
ldedos001,2016/5/31 7:18,2016/5/31 7:18,out_office,2,1,fixed-prox
iborrasca001,2016/5/31 7:18,2016/5/31 7:18,out_office,2,1,fixed-prox
ckinney001,2016/5/31 7:18,2016/5/31 9:04,in_office,2,7,fixed-prox
iovan001,2016/5/31 7:18,2016/5/31 8:46,in_office,2,7,fixed-prox
ldedos001,2016/5/31 7:18,2016/5/31 8:51,in_office,2,2,fixed-prox
iborrasca001,2016/5/31 7:18,2016/5/31 9:00,in_office,2,6,fixed-prox
zcoronado001,2016/5/31 7:19,2016/5/31 7:20,out_office,1,1,fixed-prox
sflorez001,2016/5/31 7:20,2016/5/31 7:21,out_office,1,1,fixed-prox
yfinney001,2016/5/31 7:20,2016/5/31 7:21,out_office,1,1,fixed-prox
lbennett001,2016/5/31 7:20,2016/5/31 7:20,out_office,1,4,fixed-prox
zcoronado001,2016/5/31 7:20,2016/5/31 7:20,out_office,1,4,fixed-prox
chawelon001,2016/5/31 7:20,2016/5/31 7:20,out_office,1,4,fixed-prox
zcoronado001,2016/5/31 7:20,2016/5/31 7:20,out_office,2,4,fixed-prox
chawelon001,2016/5/31 7:20,2016/5/31 7:20,out_office,2,4,fixed-prox
lbennett001,2016/5/31 7:20,2016/5/31 7:20,out_office,2,4,fixed-prox
lbennett001,2016/5/31 7:20,2016/5/31 7:21,out_office,2,1,fixed-prox
chawelon001,2016/5/31 7:20,2016/5/31 7:21,out_office,2,1,fixed-prox
zcoronado001,2016/5/31 7:20,2016/5/31 7:21,out_office,2,1,fixed-prox
mcassano001,2016/5/31 7:21,2016/5/31 7:22,out_office,1,1,fixed-prox
cshipp001,2016/5/31 7:21,2016/5/31 7:22,out_office,1,1,fixed-prox
anubarron001,2016/5/31 7:21,2016/5/31 7:22,out_office,1,1,fixed-prox
avico001,2016/5/31 7:21,2016/5/31 7:22,out_office,1,1,fixed-prox
rfaralso001,2016/5/31 7:21,2016/5/31 7:22,out_office,1,1,fixed-prox
lbennett001,2016/5/31 7:21,2016/5/31 8:53,in_office,2,6,fixed-prox
zcoronado001,2016/5/31 7:21,2016/5/31 8:55,in_office,2,7,fixed-prox
chawelon001,2016/5/31 7:21,2016/5/31 9:03,in_office,2,7,fixed-prox
sflorez001,2016/5/31 7:21,2016/5/31 7:22,out_office,1,4,fixed-prox
